General happiness,Gss year for this respondent                       
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Not too happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Not too happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Not too happy,1985
Not too happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Not too happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
No answer,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
No answer,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Not too happy,1985
Very happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
No answer,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Not too happy,1985
Very happy,1985
Very happy,1985
Not too happy,1985
Very happy,1985
Not too happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Very happy,1985
Pretty happy,1985
Pretty happy,1985
